name,city,state,region,zip,latitude,longitude,Epic Pass,Epic Local Pass,Number of visits,season_passes
Vail Mountain Resort,Vail,CO,Rockies,81657,39.6061,-106.3545,Unlimited,Limited,10,"Epic Pass,Epic Local Pass"
Beaver Creek Resort,Avon,CO,Rockies,81620,39.6042,-106.5165,Unlimited,Limited,10,"Epic Pass,Epic Local Pass"
Breckenridge Ski Resort,Breckenridge,CO,Rockies,80424,39.4806,-106.0667,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Keystone Resort,Keystone,CO,Rockies,80435,39.6042,-105.9542,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Crested Butte Mountain Resort,Crested Butte,CO,Rockies,81225,38.8697,-106.9878,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Park City Mountain Resort,Park City,UT,Rockies,84060,40.6514,-111.508,Unlimited,Blackout Dates,,"Epic Pass,Epic Local Pass"
Heavenly Mountain Resort,South Lake Tahoe,CA,West,96150,38.9356,-119.94,Unlimited,Blackout Dates,,"Epic Pass,Epic Local Pass"
Northstar California Resort,Truckee,CA,West,96161,39.2746,-120.121,Unlimited,Blackout Dates,,"Epic Pass,Epic Local Pass"
Kirkwood Mountain Resort,Kirkwood,CA,West,95646,38.6842,-120.0653,Unlimited,Blackout Dates,,"Epic Pass,Epic Local Pass"
Sevens Pass,,WA,West,,,,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Stowe Mountain Resort,Stowe,VT,Northeast,5672,44.5288,-72.8047,Unlimited,Blackout Dates,,"Epic Pass,Epic Local Pass"
Mount Snow Resort,West Dover,VT,Northeast,5356,42.9606,-72.9073,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Okemo Mountain Resort,Ludlow,VT,Northeast,5149,43.4025,-72.7175,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Mount Sunapee Resort,Newbury,NH,Northeast,3255,43.3205,-72.0741,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Attitash Mountain Resort,Bartlett,NH,Northeast,3812,44.0821,-71.2295,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Wildcat Mountain,Gorham,NH,Northeast,3581,44.2647,-71.2393,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Crotched Mountain,Bennington,NH,Northeast,3442,42.9846,-71.9267,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Hunter Mountain,Hunter,NY,Northeast,12442,42.2044,-74.2176,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Liberty Mountain Resort,Carroll Valley,PA,Midatlantic,17320,39.7577,-77.2516,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Roundtop Mountain Resort,Lewisberry,PA,Midatlantic,17339,40.0979,-76.9127,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Whitetail Resort,Mercersburg,PA,Midatlantic,17236,39.7521,-77.9477,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Jack Frost Mountain,Blakeslee,PA,Midatlantic,18610,41.0852,-75.6238,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Big Boulder,Lake Harmony,PA,Midatlantic,18624,41.1019,-75.5912,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Seven Springs Mountain Resort,Champion,PA,Midatlantic,15622,40.0229,-79.2968,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Laurel Mountain,Boswell,PA,Midatlantic,15531,40.1384,-79.1837,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Hidden Valley Resort,Hidden Valley,PA,Midatlantic,15502,40.0363,-79.2542,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Afton Alps,Hastings,MN,Midwest,55033,44.8639,-92.7899,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Mount Brighton,Brighton,MI,Midwest,48116,42.5421,-83.7994,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Wilmot Mountain,Wilmot,WI,Midwest,53192,42.4951,-88.1848,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Alpine Valley Resort,Elkhorn,WI,Midwest,53121,42.7307,-88.4794,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Boston Mills,Peninsula,OH,Midwest,44264,41.2718,-81.5599,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Brandywine,Peninsula,OH,Midwest,44264,41.2642,-81.5591,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Mad River Mountain,Zanesfield,OH,Midwest,43360,40.2962,-83.6796,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Hidden Valley,Wildwood,MO,Midwest,63025,38.5195,-90.6772,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Snow Creek,Weston,MO,Midwest,64098,39.4836,-94.9343,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Paoli Peaks,Paoli,IN,Midwest,47454,38.5574,-86.4875,Unlimited,Unlimited Access,,"Epic Pass,Epic Local Pass"
Telluride,Telluride,CO,Rockies,81435,37.9375,-107.8123,Limited,No,7,"Epic Pass,Epic Local Pass"
Fernie Alpine Resort,,,Canada,,,,Limited,No,7,"Epic Pass,Epic Local Pass"
Kicking Horse Mountain Resort,,,Canada,,,,Limited,No,7,"Epic Pass,Epic Local Pass"
Kimberley Alpine Resort,,,Canada,,,,Limited,No,7,"Epic Pass,Epic Local Pass"
Nakiska Ski Area,,,Canada,,,,Limited,No,7,"Epic Pass,Epic Local Pass"
Mont-Sainte Anne,,,Canada,,,,Limited,No,7,"Epic Pass,Epic Local Pass"
Stoneham,,,Canada,,,,Limited,No,7,"Epic Pass,Epic Local Pass"
Whistler Blackcomb,,,Canada,,,,No,Limited,10,"Epic Pass,Epic Local Pass"